scene_id,acq_time_utc,lon,lat,bbox_w_m,bbox_h_m,length_class_m,confidence,aspect_ratio,wake_flag,range_km,detector,nir_snr,size_class,fill,width_m,n_px,n_years_at_cell,transient
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.331098,48.859106,3.0,9.0,9.0,0.6915,3.0,1,6.323,B,8.51,0-12m,1.0,3.0,3,5,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.330914,48.85911,3.0,12.0,12.0,0.6778,4.0,1,6.315,B,8.25,12-24m,1.0,3.0,4,5,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.327676,48.859112,5.1,7.2,7.2,0.662,1.41,0,6.172,B,7.96,0-12m,0.7279,5.1,3,1,1
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.327736,48.858945,3.0,12.0,12.0,0.635,4.0,1,6.16,B,7.5,12-24m,1.0,3.0,4,1,1
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.317972,48.858841,81.0,132.0,132.0,1.0,1.63,0,5.756,B,87.22,>24m,0.6869,81.0,816,6,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.327772,48.858836,3.0,6.0,6.0,0.5879,2.0,0,6.152,B,6.74,0-12m,1.0,3.0,2,3,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.312207,48.858991,21.8,44.6,44.6,0.9811,2.05,0,5.569,B,23.27,>24m,0.5003,21.8,54,6,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.307305,48.859105,9.0,12.0,12.0,0.9313,1.33,0,5.429,B,16.68,12-24m,0.75,9.0,9,2,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.342447,48.858002,9.0,15.0,15.0,0.6427,1.67,0,6.776,B,7.63,12-24m,0.6667,9.0,10,6,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.342006,48.857814,15.8,42.4,42.4,0.7419,2.69,1,6.739,B,9.55,>24m,0.5926,15.8,44,5,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.329133,48.857992,28.5,45.4,45.4,0.9956,1.6,0,6.136,B,30.53,>24m,0.6405,28.5,92,6,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.341669,48.857737,12.0,21.0,21.0,0.6532,1.75,0,6.716,B,7.81,12-24m,0.5357,12.0,15,5,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.329417,48.857069,62.4,104.8,104.8,0.9996,1.68,0,6.068,B,42.86,>24m,0.6866,62.4,499,6,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.241526,48.859095,6.0,9.0,9.0,0.5997,1.5,0,5.675,B,6.93,0-12m,0.6667,6.0,4,2,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.339916,48.856971,3.0,6.0,6.0,0.603,2.0,0,6.565,B,6.98,0-12m,1.0,3.0,2,5,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.315582,48.857359,24.0,39.0,39.0,0.9941,1.62,0,5.526,B,29.13,>24m,0.6923,24.0,72,6,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.327913,48.856945,14.6,18.0,18.0,0.9002,1.23,0,5.99,B,14.74,12-24m,0.6835,14.6,20,6,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.315702,48.856783,69.0,81.0,81.0,0.9981,1.17,0,5.475,B,34.92,>24m,0.6522,69.0,405,6,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.316969,48.856007,9.4,13.6,13.6,0.9055,1.45,0,5.448,B,15.02,12-24m,0.777,9.4,11,6,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.333797,48.85557,3.0,9.0,9.0,0.6411,3.0,1,6.146,B,7.6,0-12m,1.0,3.0,3,1,1
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.343336,48.855104,45.1,90.3,90.3,0.9989,2.0,0,6.596,B,37.64,>24m,0.5124,45.1,232,4,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.343286,48.855287,5.1,7.2,7.2,0.5963,1.41,0,6.607,B,6.87,0-12m,0.7279,5.1,3,4,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.342722,48.85498,9.0,9.0,9.0,0.7454,1.0,0,6.554,B,9.62,0-12m,0.8889,9.0,8,4,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.342363,48.854443,60.0,81.0,81.0,0.9997,1.35,0,6.493,B,43.37,>24m,0.6852,60.0,370,3,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.341802,48.854738,12.1,29.8,29.8,0.777,2.47,0,6.486,B,10.38,>24m,0.6013,12.1,24,4,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.316271,48.854931,6.0,9.0,9.0,0.5896,1.5,0,5.32,B,6.77,0-12m,0.6667,6.0,4,5,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.316337,48.854536,38.6,86.0,86.0,0.9981,2.23,0,5.285,B,34.89,>24m,0.5182,38.6,191,6,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.316389,48.854868,7.0,9.7,9.7,0.6192,1.38,0,5.318,B,7.24,0-12m,0.6598,7.0,5,6,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.314885,48.854804,3.0,7.2,7.2,0.6224,2.41,0,5.255,B,7.29,0-12m,0.8284,3.0,2,6,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.313128,48.854839,6.0,12.0,12.0,0.9281,2.0,0,5.193,B,16.45,12-24m,1.0,6.0,8,2,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.310655,48.854873,13.7,17.8,17.8,0.9865,1.29,0,5.11,B,24.96,12-24m,0.6643,13.7,18,1,1
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.319276,48.854684,4.3,9.7,9.7,0.5637,2.24,0,5.416,B,6.38,0-12m,0.6406,4.3,3,5,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.317738,48.854643,18.0,19.6,19.6,0.9174,1.09,0,5.35,B,15.72,12-24m,0.6372,18.0,25,6,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.329991,48.854112,41.9,66.1,66.1,0.9987,1.58,0,5.841,B,36.66,>24m,0.673,41.9,207,6,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.316593,48.854581,3.0,7.2,7.2,0.5707,2.41,0,5.299,B,6.49,0-12m,0.8284,3.0,2,6,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.337735,48.854073,3.0,6.0,6.0,0.5794,2.0,0,6.222,B,6.62,0-12m,1.0,3.0,2,5,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.331513,48.85398,21.0,33.0,33.0,0.9938,1.57,0,5.903,B,28.9,>24m,0.7143,21.0,55,6,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.306159,48.85381,41.1,63.7,63.7,0.9953,1.55,0,4.857,B,30.27,>24m,0.6295,41.1,183,6,0
