scene_id,acq_time_utc,lon,lat,bbox_w_m,bbox_h_m,length_class_m,confidence,aspect_ratio,wake_flag,range_km,detector,nir_snr,size_class,n_years_at_cell,transient,hull_search_radius_m,n_hull_candidates,hull_length_m,hull_aspect,hull_size_class,hull_nir_snr,hull_offset_m
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.237962,48.849354,139.4,64.1,139.4,0.6036,2.17,0,4.898,AB,,>24m,1,1,99.7,4,42.0,2.8,>24m,18.81,42.7
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.231182,48.787709,27.3,73.4,73.4,0.2592,2.68,1,4.536,A,,>24m,1,1,66.7,0,,,,,
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.241368,48.805262,67.8,143.7,143.7,0.1123,2.12,0,2.88,A,,>24m,1,1,101.8,0,,,,,
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.338946,48.844793,27.3,64.2,64.2,0.0533,2.35,0,5.594,A,,>24m,1,1,62.1,0,,,,,
20200806_183328_89_2206,2020-08-06T18:33:28.895946Z,-125.223028,48.792205,131.4,59.0,131.4,0.4163,2.23,0,4.728,AB,,>24m,3,0,95.7,5,109.0,2.12,>24m,53.11,19.6
20210601_191849_05_2412,2021-06-01T19:18:49.050614Z,-125.318358,48.849882,113.6,48.3,113.6,0.52,2.35,0,4.934,AB,,>24m,2,0,86.8,1,45.0,2.5,>24m,15.58,39.9
20210626_182926_29_2457,2021-06-26T18:29:26.294082Z,-125.215995,48.853342,127.6,50.6,127.6,0.6814,2.52,1,6.303,AB,,>24m,1,1,93.8,1,72.0,2.67,>24m,30.44,26.7
20210626_182926_29_2457,2021-06-26T18:29:26.294082Z,-125.231263,48.79241,25.0,61.3,61.3,0.2254,2.46,0,4.21,AB,,>24m,1,1,60.6,1,6.0,2.0,0-12m,6.28,9.5
20210626_182926_29_2457,2021-06-26T18:29:26.294082Z,-125.230375,48.840303,27.2,98.8,98.8,0.1166,3.63,1,4.552,AB,,>24m,1,1,79.4,1,6.0,2.0,0-12m,7.25,36.2
20210812_191832_32_2406,2021-08-12T19:18:32.325059Z,-125.268357,48.846592,147.1,60.3,147.1,0.6941,2.44,0,3.674,AB,,>24m,1,1,103.5,3,94.6,3.16,>24m,32.63,25.9
20210812_191832_32_2406,2021-08-12T19:18:32.325059Z,-125.225845,48.793198,47.9,132.1,132.1,0.2771,2.76,1,4.494,AB,,>24m,1,1,96.0,2,57.6,2.92,>24m,21.58,34.5
20210812_191832_32_2406,2021-08-12T19:18:32.325059Z,-125.220653,48.849573,28.2,110.0,110.0,0.1223,3.89,1,5.767,AB,,>24m,1,1,85.0,1,6.0,2.0,0-12m,7.94,32.8
20210812_191832_32_2406,2021-08-12T19:18:32.325059Z,-125.226131,48.834363,32.2,82.2,82.2,0.1027,2.55,1,4.427,AB,,>24m,1,1,71.1,2,12.0,1.33,12-24m,7.37,6.7
