id,acquired,cloud_cover,clear_percent,instrument,sun_elevation,sun_azimuth,view_angle,sat_azimuth,thumbnail,tiles_link,date,year,aoi_coverage,aoi_missing_m2,aoi_covered,aoi_clear,glint_angle
20230815_182609_80_24c8,2023-08-15 18:26:09.801073+00:00,0.0,100,PSB.SD,47.7,135.0,3.4,105.1,https://tiles.planet.com/data/v1/item-types/PSScene/items/20230815_182609_80_24c8/thumb,,2023-08-15,2023,1.0,0.0,True,1.0,45.27313077207028
20210824_181728_61_1067,2021-08-24 18:17:28.610209+00:00,0.0,100,PS2.SD,43.7,134.2,3.1,255.5,https://tiles.planet.com/data/v1/item-types/PSScene/items/20210824_181728_61_1067/thumb,,2021-08-24,2021,1.0,0.0,True,1.0,44.750179698039275
20210730_182659_13_2434,2021-07-30 18:26:59.136637+00:00,0.0,100,PSB.SD,51.4,131.6,5.0,103.1,https://tiles.planet.com/data/v1/item-types/PSScene/items/20210730_182659_13_2434/thumb,,2021-07-30,2021,1.0,0.0,True,1.0,43.04975861176627
20230714_182421_54_24b6,2023-07-14 18:24:21.547996+00:00,0.0,100,PSB.SD,53.9,127.9,5.4,102.8,https://tiles.planet.com/data/v1/item-types/PSScene/items/20230714_182421_54_24b6/thumb,,2023-07-14,2023,1.0,0.0,True,1.0,41.04520172490462
20220816_182157_60_2457,2022-08-16 18:21:57.609790+00:00,0.01,98,PSB.SD,46.3,133.0,5.0,278.9,https://tiles.planet.com/data/v1/item-types/PSScene/items/20220816_182157_60_2457/thumb,,2022-08-16,2022,1.0,0.0,True,1.0,39.63918095412888
20220625_182034_44_2440,2022-06-25 18:20:34.440435+00:00,0.0,100,PSB.SD,55.3,126.0,5.0,102.8,https://tiles.planet.com/data/v1/item-types/PSScene/items/20220625_182034_44_2440/thumb,,2022-06-25,2022,1.0,0.0,True,1.0,39.338743973975646
20230719_182055_22_2449,2023-07-19 18:20:55.227898+00:00,0.0,100,PSB.SD,52.4,126.7,1.5,107.3,https://tiles.planet.com/data/v1/item-types/PSScene/items/20230719_182055_22_2449/thumb,,2023-07-19,2023,1.0,0.0,True,1.0,39.01754280299284
20240827_194346_64_2461,2024-08-27 19:43:46.643869+00:00,0.0,100,PSB.SD,49.9,164.5,4.6,279.0,https://tiles.planet.com/data/v1/item-types/PSScene/items/20240827_194346_64_2461/thumb,,2024-08-27,2024,1.0,0.0,True,1.0,38.382814728706364
20210812_191832_32_2406,2021-08-12 19:18:32.325059+00:00,0.0,100,PSB.SD,53.3,152.1,1.0,109.4,https://tiles.planet.com/data/v1/item-types/PSScene/items/20210812_191832_32_2406/thumb,,2021-08-12,2021,1.0,0.0,True,1.0,37.440190917537706
20210812_194340_68_1058,2021-08-12 19:43:40.689537+00:00,0.0,100,PS2.SD,55.0,162.6,3.0,104.2,https://tiles.planet.com/data/v1/item-types/PSScene/items/20210812_194340_68_1058/thumb,,2021-08-12,2021,1.0,0.0,True,1.0,36.649692942572905
20200806_183328_89_2206,2020-08-06 18:33:28.895946+00:00,0.01,99,PSB.SD,49.9,133.8,5.1,279.8,https://tiles.planet.com/data/v1/item-types/PSScene/items/20200806_183328_89_2206/thumb,,2020-08-06,2020,1.0,0.0,True,1.0,35.9662663187135
20220726_185457_24_2490,2022-07-26 18:54:57.246800+00:00,0.0,100,PSB.SD,55.2,139.6,1.0,111.4,https://tiles.planet.com/data/v1/item-types/PSScene/items/20220726_185457_24_2490/thumb,,2022-07-26,2022,1.0,0.0,True,1.0,35.6840368806407
