scene_id,acq_time_utc,lon,lat,bbox_w_m,bbox_h_m,length_class_m,confidence,aspect_ratio,wake_flag,range_km,detector,nir_snr,size_class,fill,width_m,n_px,n_years_at_cell,transient
20240801_192823_14_24ee,2024-08-01T19:28:23.145363Z,-125.259904,48.824948,9.0,9.0,9.0,1.0,1.0,0,1.802,B,90.12,0-12m,0.8889,9.0,8,1,1
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.262676,48.854231,60.9,115.1,115.1,1.0,1.89,0,4.597,B,71.11,>24m,0.6435,60.9,501,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.331165,48.859047,30.0,81.0,81.0,0.9999,2.7,1,6.32,B,52.34,>24m,0.5333,30.0,144,1,1
20210626_182926_29_2457,2021-06-26T18:29:26.294082Z,-125.222799,48.818449,58.0,95.6,95.6,0.9999,1.65,0,4.102,B,51.81,>24m,0.6136,58.0,378,1,1
20230815_182609_80_24c8,2023-08-15T18:26:09.801073Z,-125.311501,48.836093,32.3,76.7,76.7,0.9999,2.38,0,3.447,B,51.76,>24m,0.6437,32.3,177,1,1
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.237066,48.828552,28.7,64.7,64.7,0.9999,2.25,0,3.421,B,50.2,>24m,0.6824,28.7,141,1,1
20230815_182609_80_24c8,2023-08-15T18:26:09.801073Z,-125.241712,48.836795,35.7,62.7,62.7,0.9999,1.75,0,3.677,B,48.56,>24m,0.5829,35.7,145,1,1
20230815_182609_80_24c8,2023-08-15T18:26:09.801073Z,-125.31501,48.836688,46.7,96.2,96.2,0.9999,2.06,0,3.678,B,48.34,>24m,0.6529,46.7,326,1,1
20230815_182609_80_24c8,2023-08-15T18:26:09.801073Z,-125.32939,48.835244,33.0,90.0,90.0,0.9999,2.73,1,4.423,B,47.93,>24m,0.6636,33.0,219,1,1
20210812_191832_32_2406,2021-08-12T19:18:32.325059Z,-125.328249,48.85412,41.9,88.4,88.4,0.9998,2.11,0,5.759,B,47.37,>24m,0.5542,41.9,228,1,1
20210730_182659_13_2434,2021-07-30T18:26:59.136637Z,-125.224372,48.788635,49.7,136.8,136.8,0.9998,2.75,1,4.875,B,46.2,>24m,0.5998,49.7,453,1,1
20220816_182157_60_2457,2022-08-16T18:21:57.609790Z,-125.247128,48.780477,36.4,87.9,87.9,0.9997,2.42,0,4.393,B,44.9,>24m,0.656,36.4,233,1,1
20230815_182609_80_24c8,2023-08-15T18:26:09.801073Z,-125.250305,48.847646,35.8,111.7,111.7,0.9997,3.12,1,4.249,B,44.34,>24m,0.5823,35.8,259,1,1
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.246312,48.798353,24.2,41.2,41.2,0.9995,1.71,0,2.936,B,41.96,>24m,0.5776,24.2,64,1,1
20230815_182609_80_24c8,2023-08-15T18:26:09.801073Z,-125.324637,48.851706,21.8,27.1,27.1,0.9994,1.25,0,5.383,B,40.69,>24m,0.6848,21.8,45,1,1
20230815_182609_80_24c8,2023-08-15T18:26:09.801073Z,-125.286407,48.8372,26.8,90.6,90.6,0.9992,3.38,1,2.626,B,39.39,>24m,0.501,26.8,135,1,1
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.213523,48.782094,71.6,121.5,121.5,0.9992,1.7,0,5.948,B,38.91,>24m,0.7205,71.6,696,1,1
20230815_182609_80_24c8,2023-08-15T18:26:09.801073Z,-125.252409,48.840893,35.1,78.0,78.0,0.999,2.22,0,3.524,B,38.0,>24m,0.6421,35.1,195,1,1
