scene_id,acq_time_utc,n_detections,dominance,class,r_dominant_km,wake_flag_dominant,verified
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,377,0.104,CROWDED,0.272,0,0
20200806_183328_89_2206,2020-08-06T18:33:28.895946Z,590,0.036,CROWDED,0.356,0,0
20210601_191849_05_2412,2021-06-01T19:18:49.050614Z,660,0.004,CROWDED,2.449,0,0
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,8257,0.001,CROWDED,1.098,0,0
20210626_182926_29_2457,2021-06-26T18:29:26.294082Z,1029,0.01,CROWDED,0.781,0,0
20210730_182659_13_2434,2021-07-30T18:26:59.136637Z,2311,0.003,CROWDED,1.156,1,0
20210812_191832_32_2406,2021-08-12T19:18:32.325059Z,4466,0.099,CROWDED,0.039,0,0
20210812_194340_68_1058,2021-08-12T19:43:40.689537Z,796,0.006,CROWDED,1.646,0,0
20210824_181728_61_1067,2021-08-24T18:17:28.610209Z,291,0.008,CROWDED,2.515,0,0
20220625_182034_44_2440,2022-06-25T18:20:34.440435Z,47,0.049,CROWDED,2.722,0,0
20220725_185511_20_248e,2022-07-25T18:55:11.206340Z,831,0.053,CROWDED,0.27,0,0
20220726_185457_24_2490,2022-07-26T18:54:57.246800Z,963,0.01,CROWDED,0.821,0,0
20220816_182157_60_2457,2022-08-16T18:21:57.609790Z,665,0.014,CROWDED,0.964,0,0
20230606_182515_18_245c,2023-06-06T18:25:15.188284Z,559,0.029,CROWDED,0.598,0,0
20230617_185923_93_247a,2023-06-17T18:59:23.933539Z,32,0.066,CROWDED,3.05,1,0
20230702_182116_85_242b,2023-07-02T18:21:16.852028Z,1267,0.029,CROWDED,0.341,0,0
20230714_182421_54_24b6,2023-07-14T18:24:21.547996Z,813,0.007,CROWDED,0.963,0,0
20230719_182055_22_2449,2023-07-19T18:20:55.227898Z,531,0.01,CROWDED,1.381,0,0
20230815_182609_80_24c8,2023-08-15T18:26:09.801073Z,1044,0.018,CROWDED,0.58,0,0
20240712_193845_41_2438,2024-07-12T19:38:45.411029Z,185,0.011,CROWDED,2.822,0,0
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,1698,0.005,CROWDED,0.794,0,0
20240801_192823_14_24ee,2024-08-01T19:28:23.145363Z,905,0.008,CROWDED,1.277,1,0
20240827_194346_64_2461,2024-08-27T19:43:46.643869Z,3745,0.12,CROWDED,0.028,0,0
20250630_193824_56_24db,2025-06-30T19:38:24.564594Z,221,0.034,CROWDED,1.038,0,0
20250808_194820_59_2539,2025-08-08T19:48:20.590007Z,343,0.007,CROWDED,2.44,1,0
20250825_193929_84_251f,2025-08-25T19:39:29.847462Z,251,0.01,CROWDED,2.421,0,0
